epoch,train_cross_entropy,validation_cross_entropy,validation_mean_iou
1,2.0374477771314163,1.7446098697132661,0.08409260443702643
2,1.6295172161077693,1.549872359024426,0.10893538397742368
3,1.4917384124196187,1.4547376608185496,0.14350000474269722
4,1.4122737108275694,1.3910454103226912,0.16367243830690698
5,1.3572214733892818,1.3458000220199209,0.17799983452583568
6,1.3158397672158102,1.3107389808902332,0.1887917285936216
7,1.2841749821205093,1.2826412133947585,0.19815807443107447
8,1.258602078525062,1.2607500166818049,0.20904329321138357
9,1.237820107930773,1.242193762740028,0.2173119778883229
10,1.2205467615719525,1.2269658637306278,0.2243116361260543
11,1.205765142358152,1.213312869781162,0.2297680197785522
12,1.1933596669450397,1.201329862624587,0.2373180995804528
13,1.1820998615144194,1.1913268870281049,0.2423983394405254
14,1.1729071252243215,1.1827445253639728,0.24513391766477932
15,1.1647126838498805,1.1749598205401888,0.2503917057466893
16,1.1572021642519905,1.1671830995675778,0.25292734250723
17,1.1506153524810872,1.1618775952876166,0.2538899183660615
18,1.144515185511178,1.1554089967207963,0.2586065835098892
19,1.1391361778531683,1.1510276704582174,0.2586267724377817
20,1.1345804249441114,1.1463909155896765,0.2635493784336178
21,1.1299433992079762,1.1421987673103304,0.26376133917875966
22,1.1260106731498976,1.1384460143339532,0.2678143795500349
23,1.1224961192412801,1.134201495746411,0.2695768829338605
24,1.1191827275012107,1.1313961499259146,0.27267487883954594
25,1.1163766391332088,1.1280559355671584,0.27246530391010443
26,1.1130916781600375,1.1254685207606803,0.27418831761680446
27,1.1105631472810404,1.1222521802774603,0.2799088872261591
28,1.1082545044312277,1.120569066000004,0.2770380888096958
29,1.1058500160633453,1.1183413338247974,0.2797801459400524
30,1.1034991446000089,1.115762068974496,0.28139359666823915
31,1.101834751394316,1.1143443354287967,0.2839510280371446
32,1.0996993457567912,1.1122192900202919,0.2823637712636485
33,1.098234519432521,1.1111470028932227,0.28212339456755514
34,1.0962859046053985,1.109069780686458,0.2850248631612043
35,1.0950744958489584,1.1073321765682862,0.28328611465920034
36,1.093376682207627,1.105837824555089,0.28863166633450077
37,1.0923139429470392,1.1045136366194173,0.2895225535520245
38,1.0907496831501329,1.104280894439771,0.28834276382287166
39,1.089749875895746,1.102987934388926,0.2907699870490341
40,1.0882798507138958,1.1013721699485948,0.2898964480977926
41,1.0871954087398712,1.1006898764207065,0.2955013975054104
42,1.0865422611064877,1.0990959205054698,0.2947376547755329
43,1.0850494748783996,1.0987410406968325,0.2922950662373732
44,1.0844617663861025,1.0973896014983497,0.294864757819612
45,1.0831366283637645,1.0962503938509638,0.2961991077311938
46,1.082342382209621,1.0955957166132837,0.29933439076959606
47,1.0814476196730343,1.0952319006725744,0.2965213246637932
48,1.0808062786122539,1.0941560144435971,0.3002412158813605
49,1.0801059751761755,1.0934346828764363,0.29739490067738505
50,1.0793570785389206,1.092627709549024,0.30200251419720786
