seed,epoch,learning_rate,train_cross_entropy,validation_cross_entropy,validation_mean_iou,validation_pixel_accuracy,validation_mean_accuracy
0,1,0.01,1.4648007329305013,1.1110004577636718,0.21800250677053762,0.6344017857142857,0.32220629908658516
0,2,0.01,1.2905166568756103,1.0325799961090087,0.255801642114332,0.6562543845663266,0.3583939459500015
0,3,0.01,1.2392946095466615,1.0395300316810607,0.2611513585353115,0.655355149872449,0.3761583435482234
0,4,0.01,1.2004334743817646,1.007186776161194,0.26291146436089646,0.6611732102997449,0.37278734888734577
0,5,0.01,1.1753252712885538,0.9825334630012512,0.29628684715409825,0.6779919483418367,0.4355904914572216
0,6,0.01,1.1445311972300212,0.9715480804443359,0.2926894229239176,0.6803064213966836,0.4266820654200373
0,7,0.01,1.114906408627828,0.9570774536132812,0.315701440572255,0.6809080237563776,0.4526538074332911
0,8,0.01,1.0934039136568705,0.9503107328414917,0.3053620063402717,0.6802534877232143,0.4545735864137807
0,9,0.01,1.0858628573417664,0.963726987361908,0.3228528003336294,0.6829300860969387,0.46631251423028514
0,10,0.01,1.0630716718037923,0.9695922656059265,0.32208391317589785,0.680218451052296,0.4701762426431634
0,11,0.01,1.0461854983965555,0.9802545351982117,0.3141667871586266,0.6797805723852041,0.4367616077816458
0,12,0.01,1.0287817349433899,0.9794837908744812,0.30132710343184577,0.674998385682398,0.4612316699900171
0,13,0.01,1.0208428263664246,0.9532883806228638,0.32780314513478215,0.685547532684949,0.48253416767360474
0,14,0.01,1.0039130299886068,0.9289894299507141,0.32854145972490434,0.6945178770727041,0.4556670133144956
0,15,0.01,0.9867877216339112,0.9301848921775818,0.3279755423115351,0.6919102558992347,0.47954012440778
0,16,0.01,0.9724148966471354,0.9213826012611389,0.3443771303645577,0.6956004862882653,0.4933975965523973
0,17,0.01,0.9535737849871317,0.9332311244010926,0.3390074262597437,0.6911665736607143,0.47876504254251806
0,18,0.01,0.9399596470197041,0.949804628610611,0.3277799387966076,0.6831170878507653,0.4434524438299359
0,19,0.01,0.9221644892692565,0.9810379462242127,0.31689163281873284,0.6803041693239796,0.46983563843492193
0,20,0.01,0.9149756199518839,0.9138274176120758,0.3324519959674054,0.6998923588966837,0.4495204518694459
0,21,0.01,0.8932589212258657,0.9329325280189514,0.34348620697040494,0.7009028021364796,0.4907900865263649
0,22,0.01,0.8837371338208516,0.9721096091270447,0.33634799991566555,0.6873008808992347,0.4754189418491738
0,23,0.01,0.8643097118536631,1.0012489752769471,0.333712645623254,0.6682595463966837,0.489163689520808
0,24,0.01,0.8448383003870646,0.9288177015781403,0.350353407166638,0.6990311902104592,0.4967625377432805
0,25,0.01,0.835013480981191,0.9540417604446411,0.32590384597000127,0.6900202088647959,0.4490520487794153
0,26,0.01,0.8205976503690083,0.9831046164035797,0.329086663143361,0.6902987284757653,0.46250013204324353
0,27,0.01,0.8010169246991475,1.000982027053833,0.3303349344800302,0.6914531449298469,0.48037475974238386
0,28,0.01,0.7874493899345398,0.9787105503082275,0.34067104582999164,0.6985467354910714,0.47529852339258466
0,29,0.01,0.778700342019399,0.9997612249851227,0.3237251016572106,0.6855990712691327,0.4487544615563278
0,30,0.01,0.7722978621323904,1.0178908972740173,0.3310555308579145,0.6783766940369897,0.47869190762041525
0,31,0.01,0.7450841986338298,1.0289797027111054,0.3218801436721607,0.687542669802296,0.44118066564271574
0,32,0.01,0.7325104482968648,1.0298028116226197,0.3192096590282597,0.6861535395408164,0.46941832454123195
0,33,0.01,0.7142414099375407,1.016506166934967,0.32713032657175084,0.6869326570471939,0.4748352712346341
0,34,0.01,0.7010787762800852,1.0216624631881714,0.3262054118711525,0.6903805604272959,0.44319058641075204
0,35,0.01,0.7039380950927734,1.0511051278114318,0.32280064244842965,0.6793236009247449,0.46161018242216156
0,36,0.01,0.6843964745998382,1.0344761774539948,0.3362688753308058,0.696586933992347,0.4521295453713579
0,37,0.01,0.6633532410462697,1.0754028377532958,0.31853378748724837,0.6762114158163265,0.44144357644373916
0,38,0.01,0.6571196778615316,1.0898937330245972,0.3214328874779553,0.6854378786670918,0.4523249273258732
0,39,0.01,0.649807246764501,1.06802325797081,0.3317803300490853,0.6900445830676021,0.4621688771779092
0,40,0.01,0.6266124262809754,1.0613639364242553,0.33391559336656185,0.6905326450892857,0.4645299575388876
0,41,0.01,0.6099635946750641,1.108721956729889,0.32207694267215503,0.687928073182398,0.4452290028521155
0,42,0.01,0.6096830514272054,1.1079217801094055,0.32129058989715065,0.6733207110969388,0.46156891310953563
0,43,0.01,0.5985769358476003,1.1189807863235475,0.3152620281537902,0.6744997409119898,0.4652148348264197
0,44,0.01,0.5972992955843608,1.1174544534683228,0.32353476562966665,0.6862688137755102,0.4536999995590939
0,45,0.01,0.5948799399534861,1.1566431784629823,0.3211706863265286,0.6816841119260204,0.4538241809777393
0,46,0.01,0.5580903080304463,1.1998547945022584,0.31054648913484373,0.6779496173469388,0.4343147932744652
0,47,0.01,0.5612280285358429,1.1410608954429626,0.32297177668635146,0.6810441446109694,0.45152977754561635
0,48,0.01,0.5509414590199788,1.1351368141174316,0.3225711936670212,0.6784548788265307,0.45450666043251686
0,49,0.01,0.5484691675504049,1.2141055722236633,0.32198188412651463,0.6741001076211734,0.4633378727837948
0,50,0.01,0.5327164631684621,1.1872698392868042,0.3265235127305239,0.6821710977359694,0.4642618735572846
1,1,0.01,1.4519380542437235,1.164521113395691,0.22265141554516305,0.6240005580357143,0.34918433901956364
1,2,0.01,1.3081254665056865,1.058760519504547,0.22676262315720389,0.6516597775829082,0.3260687017286771
1,3,0.01,1.2486246792475382,1.0567729773521424,0.254652529973648,0.6508893694196428,0.3677548628813514
1,4,0.01,1.1946478317578633,1.0072681822776794,0.27592016979114276,0.6661833944515306,0.4044805742725094
1,5,0.01,1.1662469906806945,0.9975429463386536,0.2783554664942896,0.6695353754783163,0.4060600937059336
1,6,0.01,1.1497698024113974,0.9737164340019226,0.3035975152108348,0.6792357302295918,0.4294430639708958
1,7,0.01,1.132028119246165,0.9554715399742126,0.28009960452474214,0.6805196508290816,0.3774486228672067
1,8,0.01,1.0968702050844827,0.9778819999694824,0.31015670615165414,0.6776255978954082,0.43003346524420943
1,9,0.01,1.0832433649698894,0.9690330390930175,0.3201718694983716,0.6764278539540817,0.4668558817590146
1,10,0.01,1.0667044393221536,0.9410673713684082,0.3287184892064965,0.6881751036352041,0.45393044288153506
1,11,0.01,1.0499815417925518,0.9167278709411621,0.32708548535090765,0.693558613679847,0.4581662883939014
1,12,0.01,1.0402093540827433,0.9630565886497497,0.3108292333798379,0.6866681082589285,0.4403376900683983
1,13,0.01,1.0224784512519836,0.9497694969177246,0.32466398448847655,0.6840986926020408,0.4754890124351345
1,14,0.01,1.0067673907279968,0.9140537123680115,0.3296542838752923,0.6980516382334183,0.452781398488895
1,15,0.01,1.004416007677714,0.9181360170841217,0.32713866156292387,0.6975103834502551,0.46643768065085645
1,16,0.01,0.9830228468577067,0.9396784591674805,0.32763518452928464,0.6937398557079082,0.4675869905949807
1,17,0.01,0.9678276518185933,0.9393409168720246,0.31906413185060545,0.6949360650510205,0.4382955556874567
1,18,0.01,0.9549219045639038,0.9302411427497864,0.32338239242767286,0.6943749202806122,0.4576356083424735
1,19,0.01,0.9385920869509379,0.9210099246501923,0.32952500269588425,0.7013618263711735,0.4482483596223964
1,20,0.01,0.9243589766820272,0.9731047501564026,0.3316018610348276,0.6823247967155612,0.4847749241595736
1,21,0.01,0.9159109330177307,0.945045081615448,0.31723961773541226,0.6954766820790816,0.4220005599851655
1,22,0.01,0.902544804652532,0.9624909772872925,0.32999453893207864,0.686903639190051,0.48437669576059045
1,23,0.01,0.8791342633565267,0.9348453283309937,0.33627938487350606,0.698864915497449,0.4775870073587834
1,24,0.01,0.8589692390759786,0.9287351400852203,0.3388402258185036,0.696622389190051,0.4588459263238569
