epoch,train_cross_entropy,validation_cross_entropy,validation_mean_iou
1,2.0372269188990986,1.7441470982902523,0.08465712094140297
2,1.6292460803525608,1.5504751904075158,0.10962589744128091
3,1.4925127514392382,1.4561126012083312,0.144681355302501
4,1.4137843904613119,1.3930159871590708,0.16428004704392804
5,1.3592568880989877,1.3478757514919018,0.17791910208673678
6,1.3181967785581696,1.3129693052548643,0.18813289331502825
7,1.2866984123538519,1.2846665351633966,0.19722273912548952
8,1.2612232061927076,1.2629488017087211,0.2075460751359145
9,1.2405552156955248,1.2443278958748445,0.2154522006628839
10,1.2233495362964861,1.2290352630980406,0.22274935772396046
11,1.2085743954340873,1.215382338146777,0.22854997381344785
12,1.196215962548418,1.2033069695450038,0.23491628742896198
13,1.1849525912416954,1.193270079362109,0.23999157887413317
14,1.1757569440699194,1.1845093240953175,0.24391023449033603
15,1.1675795301000198,1.17683667388956,0.249074443044893
16,1.1601033503131875,1.1692106191884217,0.2518921779564694
17,1.1535024659761446,1.163677560182792,0.25302826543644774
18,1.1474092964137512,1.1573842343953482,0.2576540519828765
19,1.142053097866883,1.1528913122374702,0.25801081867669523
20,1.137481359101008,1.1483674615873822,0.2629858239703978
21,1.1328724094348843,1.1442297976231297,0.26376797961541854
22,1.1289315388021042,1.140327306151246,0.2668645394689903
23,1.1254599909780487,1.1360944978463365,0.26918132491653773
24,1.122163668621232,1.1332059229443698,0.2723448021810111
25,1.1192921746822995,1.130094769307559,0.27274310667658225
26,1.1161014735658659,1.127413290299412,0.27517372703990994
27,1.1135545460972498,1.1242543726570902,0.279556049886268
28,1.1112714386364313,1.1224696745270926,0.2765173821929188
29,1.1088772367505348,1.1204637697943272,0.2803043765875587
30,1.1065152495775141,1.1179852178143859,0.28053872502500926
31,1.104824795183853,1.1164259309491915,0.2841502299016729
32,1.1027456446711326,1.114211642612425,0.28349518521385225
33,1.1012627511483823,1.1131972640524561,0.28289674214077426
34,1.0993186005113522,1.111140987460818,0.28525929294251723
35,1.0981426800224676,1.1093173079892351,0.28373029400674105
36,1.0964700195412314,1.1079962375134242,0.28885498803314247
37,1.0953907549549426,1.1067580925462133,0.2894686403107363
38,1.0938397891640295,1.106334705835194,0.289504740719444
39,1.0928735531226899,1.1051273417540108,0.29017484799622584
40,1.0914259655540002,1.1035196295864684,0.2901581144265979
41,1.0903150969962352,1.102963649183932,0.2952291084556347
42,1.089658921594247,1.1012015511363997,0.29422052014282873
43,1.0881940764027802,1.1009663228112236,0.2922424306762832
44,1.0876043761079228,1.0996272271316603,0.29462793102234575
45,1.086294867667911,1.0983212133032427,0.29573307280679884
46,1.0855265750562122,1.0978198356082582,0.298811116379907
47,1.084648709871845,1.0973471156150667,0.29716671505603204
48,1.0840094943336784,1.0963687836186917,0.29952346932538154
49,1.0832711637028118,1.095664129387895,0.29741407057643543
50,1.0825433428371112,1.0948758526032896,0.30127082290691115
