experiment,metadata,mean_iou_pct,delta_miou_pp,pixel_accuracy_pct,cross_entropy
matched,all,30.45383346733316,0.0,61.542891994785364,1.1005734320082812
matched,none,29.81405187139045,-0.6397815959427067,61.311819437096936,1.1099993401071517
matched,no_location,30.33341807323298,-0.12041539410017621,61.48549287081821,1.1041992211332248
matched,no_month,30.450378607718516,-0.003454859614643313,61.51443352289904,1.1011766585694451
matched,no_era5,30.161946767219245,-0.2918867001139136,61.411561854468964,1.1059263209718122
test_time_removal,all,30.45383346733316,0.0,61.542891994785364,1.1005734908921927
test_time_removal,none,29.73022504976255,-0.7236084175706092,61.174958985162235,1.110898012477801
test_time_removal,no_location,30.28399840185445,-0.1698350654787073,61.382749127745875,1.1076873391926745
test_time_removal,no_month,30.400002472479553,-0.05383099485360421,61.50738778781238,1.1012925512845455
test_time_removal,no_era5,30.139081759337195,-0.31475170799596386,61.39016879849355,1.1056849684315504
