epoch,train_cross_entropy,validation_cross_entropy,validation_mean_iou
1,2.0376508873860457,1.743743846994021,0.0850614499308557
2,1.6289492582547702,1.5494062953877479,0.11036191131246344
3,1.4917428291374104,1.4545814244317605,0.1450502217674143
4,1.412470736891836,1.3911129035857452,0.16432100938409022
5,1.3573902116961558,1.3456195332935768,0.17786107631850426
6,1.3158719359619169,1.310419732502803,0.1880238561625157
7,1.283990632858261,1.2818543187844469,0.19712896552293457
8,1.2581564790536588,1.2598267336229987,0.20737149595065424
9,1.2371630550439874,1.241145447923598,0.21534761004778072
10,1.2196729983691486,1.2255736217533375,0.2226639561706558
11,1.2046189387126842,1.2118661489663514,0.22883816467210963
12,1.1920577888765531,1.199848815876839,0.23585985884191238
13,1.1805815553370462,1.1897411614548339,0.24119500683497705
14,1.171227434237894,1.1807948926532044,0.24576499889255288
15,1.162884176297965,1.1731406190327125,0.25136014338699797
16,1.1552841579835613,1.1654858591574808,0.25509812668722204
17,1.1485356591360616,1.1598825927993455,0.25654129797174446
18,1.142342943634603,1.1535733592745663,0.2614166919638229
19,1.1368466959867076,1.1488933347492918,0.26227261915495975
20,1.132220737022465,1.1443647449413454,0.266603656054513
21,1.1274995874625036,1.1402104416954475,0.2676700562311672
22,1.1235011430672703,1.136245564797481,0.2709142075772165
23,1.1199977407368316,1.1319292540609813,0.273244672349618
24,1.1166179870607775,1.1289184236180538,0.2765927200816036
25,1.1136520692582381,1.1258357349589485,0.27673680648754156
26,1.1104305622062904,1.1231758123153355,0.2786559036666626
27,1.1078026964189416,1.1199348898291444,0.28137670826633604
28,1.105507382987152,1.1179122359749771,0.28121341486403906
29,1.1030502482862317,1.1160102632919275,0.28429705773432973
30,1.1006609464739177,1.1135125736803932,0.28422640862735354
31,1.0989454850368277,1.1119744251544126,0.28694211381422313
32,1.0968154365619505,1.109642945869658,0.2874928620625756
33,1.0952632623255036,1.1085263758309183,0.2874356081255759
34,1.093295260653226,1.1063842157931252,0.2888033438269329
35,1.0920753189429278,1.1043903997760298,0.28889117548231585
36,1.0903982608273164,1.1031947198869336,0.293050786011756
37,1.0892680253967169,1.1018642765146645,0.2940251729872325
38,1.0876876375743432,1.1013107816810717,0.29494757156771023
39,1.0866915855967645,1.100239074023584,0.29447852539934893
40,1.0852273531167014,1.0985636974908997,0.2942086815122424
41,1.0841511711708467,1.0977567023973416,0.30010226059633865
42,1.0834341370481229,1.0959776464559916,0.2991404696306794
43,1.081947739199895,1.0958300362859508,0.29703367883089127
44,1.081340050899132,1.0945156030912448,0.29893686026399346
45,1.080062079634635,1.0931617232495285,0.30055554459164013
46,1.079260139091832,1.092806719330615,0.30263274618590147
47,1.0783984859384037,1.092213690208841,0.30178772978344004
48,1.077684718507377,1.0912848416474115,0.30371142996899875
49,1.0769186549075873,1.0905034857284441,0.3021917331807548
50,1.076194635293472,1.0897909983758338,0.30540618518700646
