epoch,train_cross_entropy,validation_cross_entropy,validation_mean_iou
1,2.0376356469196257,1.7438852901374173,0.08460361649226199
2,1.6288918029968895,1.5488049990705115,0.10977643332782333
3,1.4908928128959638,1.45341434857385,0.14432425723286646
4,1.411097921720359,1.389409674410376,0.16461625157177073
5,1.355670063338356,1.3438100226700955,0.17880064283642524
6,1.313942786892239,1.3084850875373235,0.18956688286165335
7,1.2820039520368738,1.2800999220606302,0.19865089196712535
8,1.2561638252270344,1.258019764353219,0.20950837340477949
9,1.2351614741505146,1.2393129831454006,0.21777123819948105
10,1.2176744760436171,1.22389144937822,0.22494047853491062
11,1.2027051348239683,1.210113596214685,0.23036043165847708
12,1.1901547378803732,1.1980757805571736,0.23739130585690457
13,1.1787228662609237,1.1879863759194205,0.24253126495386318
14,1.1694152944433613,1.1792381654002886,0.24598684038287938
15,1.1610690410236797,1.17147244003116,0.25109657239966554
16,1.1534855783858575,1.1636440739041614,0.25330778935273984
17,1.1467569513889821,1.158122831128961,0.254841933522265
18,1.1405698840502496,1.1516734411619403,0.2594077570776805
19,1.135092432150097,1.147083291455845,0.2598822483234598
20,1.1304524512151932,1.1425370286424907,0.2643702829690882
21,1.1257038857769328,1.1383110153631835,0.26477950277026396
22,1.1217352759208663,1.1344404348391095,0.26876316134455447
23,1.118174822007266,1.1301210984161236,0.27085566649529597
24,1.114804207085442,1.1272420275840775,0.2740718152657254
25,1.1118034334348028,1.1239218175146954,0.27387352234082374
26,1.108561877488097,1.1213441686445742,0.2756126926590227
27,1.1059759141744407,1.1181123317705437,0.28085177430136804
28,1.103643855115795,1.1162690922215504,0.278806913348806
29,1.1011680468234197,1.1141079215934229,0.281498096718764
30,1.09876395117511,1.1114455038671867,0.2830636979754923
31,1.0970992756982203,1.1099843507522251,0.2861027758581758
32,1.0949278382961587,1.107817079789309,0.28466958133717846
33,1.0933969192057709,1.1067463663113497,0.284798941224625
34,1.0914116323466714,1.104599596030863,0.2876567321952574
35,1.0902080758675345,1.1026888578373404,0.28679951847855584
36,1.0884655674955273,1.1013846409892614,0.2913733902786993
37,1.08732526631953,1.099969252421461,0.2930061640134569
38,1.0857453572242375,1.099578462844412,0.2922160042427194
39,1.084697442639023,1.0984591889986826,0.2936911296618013
40,1.0832451893632071,1.096752027262127,0.29373820578556464
41,1.0821504004296638,1.0959921490516646,0.29984706978017517
42,1.0814937823853088,1.0942941520157383,0.29882277156630155
43,1.0799322980362835,1.0940880558751178,0.2964954794074002
44,1.079333825952565,1.0926626118283653,0.2990020172143955
45,1.0780550997119172,1.0915224397917613,0.30029584650682384
46,1.0772264140853154,1.0910444976052465,0.3027333400530296
47,1.076327817615892,1.0904978353714856,0.30114067986174603
48,1.0756647573609066,1.0895026955379685,0.3039371834823139
49,1.0749041249110431,1.088801083234182,0.3017690762730953
50,1.0741815027187351,1.0880532016296725,0.3056146405969304
