seed,epoch,learning_rate,train_cross_entropy,validation_cross_entropy,validation_mean_iou,validation_pixel_accuracy,validation_mean_accuracy
0,1,0.01,1.5225508561134338,1.1398551068305969,0.18072654819544484,0.6256179647640306,0.26198901496991744
0,2,0.01,1.3540090478261313,1.102554045677185,0.20832252922443734,0.6326583824936225,0.2879138921160455
0,3,0.01,1.3032257254918416,1.1011337385177613,0.236346781485231,0.6386248405612245,0.33321480312667273
0,4,0.01,1.2627780377070108,1.0653944613933564,0.24872877221068707,0.6490521564094388,0.35292930402650535
0,5,0.01,1.2367792118390402,1.0526875967979432,0.2614915229573381,0.6560567402742347,0.3886384907788195
0,6,0.01,1.2081075342496237,1.091420554637909,0.2520348785274561,0.6444601004464285,0.3765290069016083
0,7,0.01,1.1806425004005432,1.0165986618995666,0.27513737142791933,0.6617748126594388,0.39701326644061175
0,8,0.01,1.1507715646425882,1.0038047904968261,0.2824398682034153,0.6631535594706632,0.41231612835461096
0,9,0.01,1.1390206028620402,1.0326829895973206,0.27894037839349156,0.6583539939413265,0.3958687929893505
0,10,0.01,1.115921754995982,1.0262778956890106,0.2713161850381673,0.6604258808992347,0.3862934406504719
0,11,0.01,1.0860999285380046,1.0446897940635682,0.27244566358590044,0.6592662029655613,0.37692381200465264
0,12,0.01,1.0521549835205077,1.0554572219848632,0.27786026469128766,0.6529190051020408,0.4169064089081516
0,13,0.01,1.0359509757359822,1.0492144541740418,0.28834269359347325,0.6618836694834184,0.4149725808377004
0,14,0.01,1.0013493412335714,1.0669917593002318,0.2762425288182702,0.656515605070153,0.39929127334462694
0,15,0.01,0.9680738989512125,1.0636253590583802,0.2573190518928715,0.6514308832908163,0.37835298541163437
0,16,0.01,0.9434183421134948,1.1161734247207642,0.2902795760485049,0.6222460140306122,0.44893987643154515
0,17,0.01,0.8943478730519613,1.1434859504699708,0.26179304523566393,0.6581612922512755,0.37011866538014465
0,18,0.01,0.8597839287122091,1.132494996547699,0.269249233644559,0.6349314811862244,0.3900499160064768
0,19,0.01,0.8173887238502503,1.1358573350906371,0.278763366566416,0.6497507174744898,0.4003578720267519
0,20,0.01,0.7839834775924682,1.181166256427765,0.2533035667654365,0.6415770089285714,0.37278438362613325
0,21,0.01,0.7424599146842956,1.1695415210723876,0.2748094708602653,0.6559224330357143,0.39241203441004585
0,22,0.01,0.7030607080459594,1.3499647784233093,0.27062337736195907,0.6069198820153061,0.4069673789369187
0,23,0.01,0.6608278156916301,1.2853301033973694,0.2573464739723527,0.6157308474170918,0.3790933005814163
0,24,0.01,0.625823926448822,1.2403761696815492,0.27090409059495724,0.6450402782206632,0.39470892599319274
0,25,0.01,0.5901467249393463,1.4166309566497803,0.2411124637033844,0.6242454161352041,0.3449412290186369
0,26,0.01,0.5723348633448283,1.3396142907142639,0.25657198614541843,0.6375971978635204,0.3665436468660342
