seed,epoch,encoder_learning_rate,head_learning_rate,train_objective,train_balanced_binary_cross_entropy,train_moe_loss,validation_balanced_binary_cross_entropy,validation_moe_loss,validation_micro_map,validation_macro_map,validation_micro_f1
0,1,5e-05,0.0005,0.9153530748203397,0.9153530748203397,0.01171056096055545,0.9024101275503635,0.011848005074076354,0.4139855194096992,0.3019189904130213,0.3951930381932454
0,2,0.0001,0.001,0.7206281644890085,0.7087664396519773,0.011861724585480987,0.6794216879550368,0.012122911009937525,0.5847850983472195,0.4952082200600803,0.4877859032207873
0,3,0.0001,0.001,0.6085785011416301,0.5966442019980633,0.011934299280354754,0.6303767196219414,0.012179210607893764,0.6225972529143002,0.5514721433936127,0.5151925990908366
0,4,9.915716843435315e-05,0.0009915716843435316,0.5610868210954592,0.5491138446533587,0.011972976293182001,0.606287328270264,0.012225548974238337,0.6516052300294888,0.5817214699849927,0.536125830599714
0,5,9.665737535551561e-05,0.0009665737535551561,0.5275611934282817,0.5155546954804391,0.012006497951364145,0.5984445283354726,0.012243143207393586,0.6712490583571402,0.602564741759009,0.548693790149893
0,6,9.258574821861591e-05,0.000925857482186159,0.5013087401278783,0.48929053650368876,0.012018203666480258,0.5726002760857809,0.012255706261843443,0.6835639436948924,0.6138809773574916,0.5553347732181425
0,7,8.708094140242264e-05,0.0008708094140242263,0.478687336743949,0.4666575998680215,0.012029737083613873,0.5676941954933572,0.012278123226948082,0.6925998880145616,0.629028427537171,0.5576278470133219
0,8,8.03304145007732e-05,0.000803304145007732,0.45863787371222864,0.4465952634363377,0.01204261023066938,0.5651550294935005,0.012241405310109258,0.7025728136424427,0.6359795137545615,0.5799209770114943
0,9,7.256404861093866e-05,0.0007256404861093865,0.44083628128189595,0.42877324874655315,0.0120630326744169,0.5691028927726147,0.012286936887539924,0.7055640470595401,0.6399571074401073,0.5914846760873554
0,10,6.404631800856812e-05,0.0006404631800856811,0.423507756651612,0.41142586179941243,0.012081895017670468,0.5640307177820941,0.01227752902917564,0.7128157571162688,0.6452949465482524,0.5878952122854562
0,11,5.5067283793433455e-05,0.0005506728379343345,0.41025491339094006,0.3981819588173012,0.012072954365145414,0.5803532687883708,0.012302370989695192,0.7144881008200374,0.6469833566617933,0.5962663694622458
0,12,4.5932716206566554e-05,0.00045932716206566556,0.3961067977524828,0.38402074025066646,0.012086057593300939,0.5784666437859997,0.012312444197945296,0.7169941558560081,0.6562880838795556,0.592295052035786
0,13,3.6953681991431905e-05,0.000369536819914319,0.38392099812482483,0.37182427424286896,0.012096723898639902,0.5988932679401768,0.01232730534300208,0.7158340819767407,0.6582549264493155,0.6012888764359765
0,14,2.843595138906136e-05,0.0002843595138906136,0.3738732839530334,0.36177546291321316,0.012097821203107014,0.5938821212037292,0.012335231945849954,0.7215905162260634,0.6582142045115794,0.603996622572474
0,15,2.0669585499226815e-05,0.00020669585499226813,0.36448242389056834,0.3523714263474841,0.012110997639456764,0.5981141342054908,0.012337697844021023,0.7222971525235319,0.6633409048734318,0.6041921233198609
0,16,1.391905859757738e-05,0.0001391905859757738,0.3566070324570406,0.3444896021890123,0.01211743030291982,0.6062666305942839,0.012350162725895644,0.7237996688408408,0.6624068559632016,0.6116347710178044
0,17,8.414251781384107e-06,8.414251781384106e-05,0.35132609420754013,0.3392020158265183,0.012124078367417678,0.6087686153109171,0.012353528087958693,0.7249498666847923,0.6621973842372324,0.6109471680152309
0,18,4.342624644484393e-06,4.342624644484393e-05,0.346685523842182,0.3345598744095839,0.012125649417610839,0.6199645002593097,0.012354621564038097,0.7244264208092603,0.6625950706234461,0.612987012987013
0,19,1.8428315656468617e-06,1.8428315656468615e-05,0.3452475364247337,0.3331216792222782,0.012125857158377766,0.617231574841564,0.012354209587909282,0.7252526201739535,0.6636871179763965,0.6140215716486903
0,20,1.0000000000000002e-06,1e-05,0.34370395651184954,0.3315777426920512,0.012126213834481314,0.618688473821072,0.012355329209007324,0.7249179979096647,0.6636542533516201,0.6143614457831326
