representation,direction,precision,recall,f1,precision_percent,recall_percent,f1_percent,k,queries,archive
raw_l2,S1_to_S1,0.623949016165606,0.6656622778143515,0.644131026580907,62.3949016165606,66.56622778143515,64.41310265809071,5,3255,3248
raw_l2,S2_to_S2,0.6542214175992977,0.672649842732792,0.6633076573690397,65.42214175992977,67.26498427327921,66.33076573690397,5,3255,3248
raw_l2,S1_to_S2,0.37755145929339473,0.4139471874771414,0.39491252534686966,37.75514592933947,41.39471874771414,39.491252534686964,5,3255,3248
raw_l2,S2_to_S1,0.4502775217613928,0.35981442469460906,0.39999495897788034,45.02775217613928,35.98144246946091,39.99949589778804,5,3255,3248
train_mean_centered_l2,S1_to_S1,0.6230607124570259,0.6656144393241168,0.6436349862318136,62.30607124570259,66.56144393241168,64.36349862318136,5,3255,3248
train_mean_centered_l2,S2_to_S2,0.6653195815960792,0.6745082290980908,0.6698823971031739,66.53195815960792,67.45082290980908,66.98823971031739,5,3255,3248
train_mean_centered_l2,S1_to_S2,0.4260054129178553,0.3579981713115354,0.3890521978756293,42.60054129178553,35.79981713115354,38.90521978756293,5,3255,3248
train_mean_centered_l2,S2_to_S1,0.28046229244385923,0.2703384536610343,0.27530733386139133,28.046229244385923,27.03384536610343,27.530733386139133,5,3255,3248
