epoch,train_cross_entropy,validation_cross_entropy,validation_mean_iou
1,2.0377175287903757,1.744137557414884,0.08465986543781602
2,1.628921155341447,1.548978977124569,0.10982015882373103
3,1.490848624832797,1.4535149601091064,0.14433539099318096
4,1.4110106739901125,1.3894519476773324,0.1646420383721737
5,1.3555532869241353,1.343799191441857,0.17870939936391422
6,1.313798619312864,1.308434301737286,0.1893468085854848
7,1.2818291578724645,1.2799967763309563,0.19854457988819343
8,1.2559661101257067,1.2578807181285687,0.209463126043596
9,1.2349416925175831,1.2391509431257022,0.2176882152629809
10,1.2174400585914642,1.2237063536284576,0.22499437624980534
11,1.2024617185199291,1.2099137772768076,0.23032952313447783
12,1.1898952214352374,1.1978455436465145,0.23741960148449986
13,1.1784490734663091,1.1877424477666003,0.24258624726371716
14,1.1691266412009766,1.1789611222425904,0.24600840034271415
15,1.160770618305337,1.1711890872377198,0.25109531903031107
16,1.1531796099901617,1.163371380708334,0.25329812978460364
17,1.1464387130852622,1.1578410781232256,0.25477820353540187
18,1.140249737004479,1.1513801788620677,0.25929959016006915
19,1.1347689639652319,1.1467770524968643,0.25975507998873654
20,1.1301311530061713,1.1422246973248367,0.26431730701817985
21,1.1253740017202358,1.1379928700340607,0.26470663509206394
22,1.1213969179463774,1.134120380287447,0.2687380418290801
23,1.1178314001605376,1.1298042622750346,0.270743176354787
24,1.1144512628461507,1.1268940965574819,0.27412628844247466
25,1.1114829625395315,1.1235831411362462,0.27386731604200776
26,1.1082105040790475,1.1209950607085315,0.2756317280951217
27,1.1056115705288179,1.1177882186254635,0.2809100950101881
28,1.1032819568702454,1.11591928286785,0.27878834976257916
29,1.1008016904899867,1.1137705676164515,0.2813112861222132
30,1.098396946966496,1.1111177383339823,0.28259891587026825
31,1.0967275076346197,1.1096573782659067,0.28599995311904836
32,1.094557239774509,1.1074741444535814,0.28442353764990747
33,1.0930275967985044,1.1064085628850862,0.28459045586904674
34,1.0910319798770778,1.1042736842237333,0.2874317699015575
35,1.089823768621937,1.1023747577920935,0.2863752051278093
36,1.0880815106166652,1.1010374574592066,0.2913480418088914
37,1.0869447770465306,1.0996506635530587,0.2930329379159148
38,1.0853585171055669,1.0992391316557257,0.2920362212218537
39,1.084308190962712,1.0981116080082314,0.2932732352254689
40,1.0828462204560947,1.0964566077113584,0.29366465917907464
41,1.0817361119516462,1.095670329424125,0.29998232450040957
42,1.081074359915709,1.0939903181918635,0.2984730957461219
43,1.079535578001287,1.0937533396379162,0.29667660451295413
44,1.0789382900103244,1.0923426856152811,0.29924812748015955
45,1.0776509330843815,1.0911855950849472,0.299739147924394
46,1.0768173380627133,1.090701038056158,0.30325106464587936
47,1.0759182328036214,1.0901758449301513,0.3017340259718792
48,1.0752492594603615,1.0891822228168393,0.30443195292783454
49,1.074492717051913,1.0884581030688427,0.3020163454772118
50,1.0737614748331548,1.0877130840728957,0.3062613307129351
